scorer,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker
bodyparts,paw1LH_top,paw1LH_top,paw1LH_top,paw2LF_top,paw2LF_top,paw2LF_top,paw3RF_top,paw3RF_top,paw3RF_top,paw4RH_top,paw4RH_top,paw4RH_top,paw1LH_bot,paw1LH_bot,paw1LH_bot,paw2LF_bot,paw2LF_bot,paw2LF_bot,paw3RF_bot,paw3RF_bot,paw3RF_bot,paw4RH_bot,paw4RH_bot,paw4RH_bot
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,78.96711209436413,122.36770959367585,1.0,306.4417610579571,102.22409987918311,1.0,226.41276003655582,95.380774357965,1.0,207.41613113054274,90.65138506069144,1.0,80.67196438122457,246.24018086811495,1.0,299.0128850701193,244.19376759908175,1.0,224.02370769701642,293.2553234588564,1.0,203.53817878605588,349.7603141949256,1.0
1,78.96640954514746,122.3539041806975,1.0,306.4381711877003,102.47303568534154,1.0,226.41075937008537,95.37428792943666,1.0,207.52697169400597,90.962048653807,1.0,80.67347379402611,246.29341508163338,1.0,298.9685763013277,244.15361911575363,1.0,224.02136625115367,293.22744317422746,1.0,203.59214724061235,349.5445978326223,1.0
2,78.95395854297757,122.22480831631827,1.0,306.2161356624838,103.12027851104513,1.0,226.38410787650423,95.35423939008986,1.0,207.98269632990667,91.86529204925381,1.0,80.67924380467872,246.4796866387056,1.0,298.6471325246755,243.87884790657614,1.0,223.99635226989662,293.17962280649715,1.0,203.86790203268507,348.9697897648068,1.0
3,76.11046340426141,122.1772874533696,1.0,303.89431033651925,104.37543507461884,1.0,222.70089751120221,95.21457830552083,1.0,216.95093525302792,92.45635868972707,1.0,78.06435376607011,247.28371353017135,1.0,296.18930228130785,241.78730476959282,1.0,220.58207760201998,292.85935058310497,1.0,211.73366786633238,347.60203043107515,1.0
4,73.39791360581691,122.13646573814715,1.0,300.1062175680216,105.60603633769621,1.0,219.75839913502824,97.12752057920528,1.0,218.7918819491288,94.45920515188035,1.0,75.57086605668941,248.21429712975535,1.0,292.3259473915759,239.29558454539205,1.0,217.7226152586031,292.11908313508405,1.0,213.08302118433727,346.4556606199303,1.0
5,70.15196463629128,122.08816387647688,1.0,295.165302130931,105.90144458860902,1.0,216.62702172231445,98.95224666931192,1.0,219.9236320382691,96.4126220678955,1.0,72.58633250726652,249.25745796107432,1.0,287.52685938320354,237.83738518330938,1.0,214.69538959958203,291.44797815587935,1.0,213.80934709346008,345.2448200702109,1.0
6,67.2871065178995,121.1193170324884,1.0,290.56276785483954,104.7191362040953,1.0,214.5947209295894,100.24708626665524,1.0,223.42840801138436,97.29595043558417,1.0,70.06782030892988,250.62127744577546,1.0,283.27387503952724,235.32856059811365,1.0,212.7297239601965,291.1877024885037,1.0,216.79230361652714,344.5353754037502,1.0
7,66.82417140964093,119.46421131714952,1.0,285.80123718443264,103.54372599875022,1.0,214.2669236246395,100.92256633683878,1.0,222.61518743635162,98.31344158838293,1.0,69.85662093730292,252.49054335855837,1.0,278.8870385749877,234.04981387991438,1.0,212.399106498183,291.57777883914525,1.0,215.925473390342,343.84669704748154,1.0
