scorer,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker
bodyparts,paw1LH_top,paw1LH_top,paw1LH_top,paw2LF_top,paw2LF_top,paw2LF_top,paw3RF_top,paw3RF_top,paw3RF_top,paw4RH_top,paw4RH_top,paw4RH_top,paw1LH_bot,paw1LH_bot,paw1LH_bot,paw2LF_bot,paw2LF_bot,paw2LF_bot,paw3RF_bot,paw3RF_bot,paw3RF_bot,paw4RH_bot,paw4RH_bot,paw4RH_bot
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,131.18460604095458,106.13403034973145,1.0,272.87163751220703,98.56552479553226,1.0,278.23454904174804,100.60243182373047,1.0,122.37751154327394,110.80057450866701,1.0,130.80447679138183,237.26630377197264,1.0,267.66780178833005,256.1781545410156,1.0,272.37017846679686,313.8157587890625,1.0,125.2718122711182,344.5790185546875,1.0
1,79.06782311194806,120.79989445273962,1.0,304.78410908255745,98.66878635166495,1.0,226.5784362732193,96.54862133830409,1.0,206.00334710164003,91.97366699876812,1.0,80.93122220884462,243.8266032205322,1.0,298.02238232015463,245.5316558796678,1.0,224.30788627726298,299.66047977992963,1.0,202.08355844494088,347.3327238720909,1.0
2,78.94262417182162,121.90138438375232,1.0,306.29997451195453,100.43710352872887,1.0,226.3426713785739,95.69021405137514,1.0,207.49626221195632,91.00727359624187,1.0,80.69757744585431,245.39588147518342,1.0,299.16908037865227,244.3850446634483,1.0,224.00002061532064,295.1666174220714,1.0,203.5542998401871,348.996559283131,1.0
3,76.12245178306051,122.17681380488807,1.0,303.6929045415791,101.089970425821,1.0,222.68921654326726,94.91195900602892,1.0,216.65782326432085,90.91727659431999,1.0,78.06772136768356,246.45157624985626,1.0,296.53376000695164,242.1745997446281,1.0,220.59542115280564,293.0760544310415,1.0,211.68628423857922,347.7734557363654,1.0
4,73.43982374737024,122.37517108295563,1.0,300.12290523835884,104.81177210742725,1.0,219.74975870842093,96.36020210615965,1.0,218.28545232619052,93.67165090406672,1.0,75.57206382878431,247.27117288856888,1.0,292.4735165307295,239.49890037707104,1.0,217.76141740564265,292.2007413340065,1.0,212.74518460057087,346.88011578288456,1.0
5,70.22514849401453,122.68497706563903,1.0,295.2552514167272,105.91960956730051,1.0,216.6056233244368,98.32876421104892,1.0,219.65556963124152,96.02901243085462,1.0,72.57314336908355,248.29419945072942,1.0,287.6171415342626,238.289653724243,1.0,214.7063068060796,291.27857354817655,1.0,213.63026275579392,346.00723381629916,1.0
6,67.29808480268825,121.8904160331915,1.0,290.5850654766944,104.77564302493518,1.0,214.57653068315213,99.6494874777607,1.0,223.2869807832917,96.9592804040738,1.0,69.97661016837333,249.70630655394376,1.0,283.2891402173639,235.52247310746583,1.0,212.74177363728,291.00710707905085,1.0,216.71868070077602,345.2401243764109,1.0
7,66.82354651449972,120.02200799794477,1.0,285.8562968532193,103.72983913717253,1.0,214.2612012019388,100.70160944755715,1.0,222.62192835103167,98.29447702773763,1.0,69.76779947900923,250.23026530735453,1.0,278.92386360767836,234.95054788186417,1.0,212.39538640446136,291.2165872774858,1.0,215.93831517395023,344.37831180012904,1.0
